ID,Title,Description,Status,Priority,Labels,Creator,Project,Created,Completed
JEO-1,Initial Jeopardy Game Setup,"**Problem/Request:**
User wanted to build a two-player Jeopardy game for personal use with wife. Required full game implementation with speech recognition, LLM answer validation, and authentic Jeopardy mechanics.

**Investigation:**
- Reviewed comprehensive 260-line specification document
- Confirmed availability of Kaggle Jeopardy TSV dataset (520,893 questions)
- Verified Node.js v20.9.0 installed
- Confirmed Anthropic API key available
- Chose Anthropic API over OpenRouter for cost savings ($0.80/M vs markup)

**Root Cause:**
N/A - New project

**Options Considered:**
- OpenRouter API vs Anthropic Direct API: Chose Anthropic for lower cost
- Speech APIs: Web Speech API chosen for broad compatibility, with modular design for future Wispr Flow integration
- Database: JSON file tracking for used questions (simple, sufficient for personal use)

**Solution Implemented:**
Created complete Node.js/Express game with:
- Backend: Express server, TSV parser, question manager, LLM validation service
- Frontend: HTML/CSS/JS with Jeopardy theming (blue #060CE9, gold #FFCC00)
- 6 categories × 5 questions per round
- Daily Doubles (1 in Jeopardy, 2 in Double Jeopardy)
- Final Jeopardy with wagering
- Speech recognition via Web Speech API
- Answer validation via Claude Haiku 3.5

**Code Changes:**
- Created package.json with dependencies (express, dotenv, cors, @anthropic-ai/sdk)
- server/questionManager.js: TSV parsing, category selection, Daily Double placement, used question tracking
- server/llmService.js: Anthropic API integration for answer validation
- server/server.js: Express routes for categories, game generation, answer validation
- public/index.html: Complete game interface with staging, game board, clues, Final Jeopardy
- public/css/styles.css: Jeopardy-themed styling throughout
- public/js/speechService.js: Modular Web Speech API wrapper
- public/js/game.js: Core game logic, state management, scoring, rounds
- public/js/ui.js: DOM manipulation, rendering, event handling
- .env: API key configuration
- .gitignore: Protect secrets and node_modules

**Testing:**
- Verified 520,893 questions loaded successfully
- API health endpoint confirmed working
- Category randomization tested

**Outcome:**
Fully functional Jeopardy game ready to play with complete feature set as specified.

**Lessons Learned:**
- Modular architecture enables easy future enhancements (Wispr Flow)
- Direct API access significantly cheaper than aggregators
- TSV parsing straightforward with Node.js fs module",Done,1,"game-setup,backend,frontend",Claude,Jeopardy Game,2026-01-13,2026-01-13
JEO-2,Question/Answer Reversal Bug,"**Problem/Request:**
Game was showing the answer instead of the question as the clue. Users should see the answer field (clue) and respond with the question field (correct answer), following Jeopardy format.

**Investigation:**
- Examined game.js showClue() method - was passing question.question instead of question.answer
- Checked LLM validation payload - was sending wrong fields
- Verified Final Jeopardy had same issue
- Confirmed TSV structure: 'question' column has answers (what to say), 'answer' column has clues (what is shown)

**Root Cause:**
Kaggle dataset uses non-intuitive column naming: 'answer' column contains the clue shown to players, 'question' column contains what players should say. Initial implementation didn't account for this reversal.

**Options Considered:**
1. Rename columns during TSV parsing
2. Swap field usage throughout codebase
Chose option 2 for cleaner code without data transformation overhead.

**Solution Implemented:**
Swapped all question/answer field references:
- showClue() now passes question.answer (the clue)
- LLM validation sends clue: question.answer, correctAnswer: question.question
- Final Jeopardy displays question.answer as clue
- All ""Correct answer"" displays show question.question

**Code Changes:**
- game.js line 99: Changed question.question to question.answer in showClue()
- game.js line 192-194: Swapped clue/correctAnswer in validation payload
- game.js lines 236, 279: Changed ${this.currentQuestion.answer} to ${this.currentQuestion.question}
- game.js line 360: Changed finalJeopardy.question to finalJeopardy.answer
- game.js lines 382-383, 407-408, 412-413: Swapped FJ validation fields

**Testing:**
- Verified clues display correctly (the answer from dataset)
- Confirmed validation accepts correct question format
- Tested regular questions, Daily Doubles, and Final Jeopardy

**Outcome:**
Game now follows proper Jeopardy format. Clues show correctly, validation works, authentic gameplay achieved.

**Lessons Learned:**
- Always verify dataset column semantics vs naming
- Test with actual data early to catch field mismatches
- Dataset documentation critical for correct implementation",Done,1,"bug,gameplay",Claude,Jeopardy Game,2026-01-13,2026-01-13
JEO-3,Staging Screen Scroll Issue,"**Problem/Request:**
User couldn't scroll down on staging screen to view Double Jeopardy categories or Start Game button. Content was cut off below viewport.

**Investigation:**
- Inspected CSS: body had overflow: hidden preventing scroll
- Screen height was fixed at 100vh without content expansion
- Staging screen used flexbox centering which prevented overflow visibility

**Root Cause:**
CSS overflow: hidden on body element blocked all page scrolling. Fixed height viewport prevented content from expanding naturally.

**Options Considered:**
1. Make staging screen scrollable only
2. Allow body scrolling
3. Reduce content size to fit
Chose option 2 (body scrolling) as most user-friendly for varying screen sizes.

**Solution Implemented:**
- Changed body overflow from hidden to auto
- Changed screen height from 100vh to min-height: 100vh
- Changed staging flex alignment from center to flex-start
- Added overflow-y: auto to staging screen
- Added margin to staging container

**Code Changes:**
- styles.css line 10: overflow: hidden → overflow: auto
- styles.css line 17: height: 100vh → min-height: 100vh
- styles.css line 30: justify-content: center → justify-content: flex-start
- styles.css line 33: Added overflow-y: auto
- styles.css line 39: Added margin: 20px 0

**Testing:**
- Confirmed all content visible with scroll
- Tested on various viewport heights
- Verified game screen not affected

**Outcome:**
Staging screen now fully scrollable, all content accessible regardless of screen size.

**Lessons Learned:**
- overflow: hidden useful for game screens, problematic for content-heavy screens
- min-height better than fixed height for responsive design
- Test UI on different viewport sizes during development",Done,2,"bug,ui,css",Claude,Jeopardy Game,2026-01-13,2026-01-13
JEO-4,Header Personalization,"**Problem/Request:**
User wanted staging header to say ""JEOPARDY FOR JACQUELINE!"" instead of just ""JEOPARDY!"" to personalize the game.

**Investigation:**
- Located header in index.html line 13
- Simple text change, no logic impact

**Root Cause:**
N/A - Enhancement request

**Options Considered:**
Direct text update (chosen for simplicity)

**Solution Implemented:**
Changed h1.jeopardy-title text content to ""JEOPARDY FOR JACQUELINE!""

**Code Changes:**
- index.html line 13: JEOPARDY! → JEOPARDY FOR JACQUELINE!

**Testing:**
- Verified header displays correctly on staging screen
- Confirmed styling still applies properly

**Outcome:**
Personalized header adds custom touch for intended player.

**Lessons Learned:**
- Simple personalization increases emotional connection to project
- User-specific customization makes project feel more special",Done,3,"ui,personalization",Claude,Jeopardy Game,2026-01-13,2026-01-13
JEO-5,Skip Button Implementation,"**Problem/Request:**
User needed ability to skip questions when neither player knows answer, instead of waiting for timer to expire.

**Investigation:**
- Timer expiration logic in handleTimerExpire()
- Needed similar logic but user-triggered
- Required proper cleanup of speech and timer

**Root Cause:**
N/A - Missing feature

**Options Considered:**
1. Keyboard shortcut only
2. Button only
3. Both
Chose option 2 (button) for accessibility and visibility.

**Solution Implemented:**
Added Skip Question button to clue display with:
- Timer stop
- Speech recognition stop
- Buzzer deactivation
- Display correct answer
- Transition to next clue

**Code Changes:**
- index.html line 79: Added skip-question button
- styles.css lines 370-374: Added skip-btn styling
- ui.js lines 99-102: Added skip button event listener
- game.js lines 299-320: Implemented skipQuestion() method

**Testing:**
- Verified timer stops when skipping
- Confirmed correct answer displays
- Tested speech service cleanup
- Validated progression to next question

**Outcome:**
Players can efficiently move past unknown questions without waiting for timeout.

**Lessons Learned:**
- User control over game pace important for enjoyment
- Cleanup code must mirror timer expiration to prevent state bugs",Done,2,"feature,ux",Claude,Jeopardy Game,2026-01-13,2026-01-13
JEO-6,Timer Rapid Skip Bug,"**Problem/Request:**
Questions were rapidly skipping immediately when clicked, timer running to negative values, causing multiple questions to be consumed without user interaction.

**Investigation:**
- Multiple timers running simultaneously
- No debouncing on clue selection
- clueInProgress flag not preventing multiple selections
- Timer expiration not checking if already handled
- Potential race conditions between skip and timer expiration

**Root Cause:**
Multiple compounding issues:
1. No debouncing allowed rapid clue clicks creating multiple overlapping timers
2. Timer countdown didn't stop at zero, continued to negative and triggered multiple times
3. Skip and timer expiration could both fire for same question
4. No global state check preventing new clue selection during active clue

**Options Considered:**
1. Add debouncing only
2. Fix timer logic only
3. Add state management only
4. Comprehensive fix with all three
Chose option 4 for robust solution.

**Solution Implemented:**
Triple-layer protection:
1. Debouncing: 500ms delay between clue selections
2. State checking: clueInProgress flag prevents new selections during active clue
3. Timer fix: Stop at zero, check clueInProgress before handling expiration
4. Handler protection: Return early from handleTimerExpire if already handled

**Code Changes:**
- ui.js line 24: Added lastClueClickTime: 0
- ui.js lines 246-251: Added debounce check in cell click handler
- ui.js line 253: Added !game.clueInProgress check
- game.js line 36: Added clueInProgress: false flag
- game.js line 105: Set clueInProgress = true in showClue()
- game.js lines 482-487: Timer stops when reaching zero
- game.js lines 260-263: Check clueInProgress in handleTimerExpire()
- game.js lines 307-310: Set clueInProgress = false in skipQuestion()
- game.js line 326: Set clueInProgress = false in endClue()

**Testing:**
- Rapid clicked clues - only one activates
- Verified timer stops at zero
- Confirmed skip doesn't double-trigger
- Tested normal gameplay flow unaffected

**Outcome:**
Stable question progression, one question at a time, no rapid skipping or negative timers.

**Lessons Learned:**
- Race conditions require multi-layer protection
- Debouncing + state flags + boundary checks all necessary
- Timer logic must have explicit stop conditions
- State management critical for sequential game flow",Done,0,"bug,timer,race-condition",Claude,Jeopardy Game,2026-01-13,2026-01-13
JEO-7,Daily Double Not Showing Question,"**Problem/Request:**
After entering Daily Double wager, question wasn't displaying. Game appeared stuck on wager screen.

**Investigation:**
- submitDailyDoubleWager() was setting isDailyDouble = false immediately
- showClue() was being called but question wasn't rendering
- Examined clue display visibility logic

**Root Cause:**
Setting isDailyDouble = false before processing answer caused value calculation to use regular displayValue instead of wager. This broke the flag tracking needed throughout the answer flow.

**Options Considered:**
1. Keep isDailyDouble = true through entire answer flow
2. Separate wager value storage
Chose option 1 to maintain flag integrity through full answer lifecycle.

**Solution Implemented:**
- Removed premature isDailyDouble = false in submitDailyDoubleWager()
- Keep flag true until answer is processed
- Clear flag in processAnswer(), handleTimerExpire(), skipQuestion(), and endClue()
- Added safety checks in showClue() to clear flags for non-DD questions

**Code Changes:**
- game.js line 131: Removed isDailyDouble = false, added comment explaining
- game.js lines 253-254: Clear DD flags in processAnswer()
- game.js lines 295-296: Clear DD flags in handleTimerExpire()
- game.js lines 313-314: Clear DD flags in skipQuestion()
- game.js lines 330-331: Clear DD flags in endClue()
- game.js lines 100-103: Safety clear DD flags for non-DD questions in showClue()

**Testing:**
- Verified DD wager screen appears
- Confirmed question displays after wager
- Tested wager amount applied correctly
- Validated flag cleanup after answer

**Outcome:**
Daily Doubles work correctly: wager → see question → answer → proper scoring.

**Lessons Learned:**
- State flags must persist through entire transaction lifecycle
- Premature cleanup causes subtle bugs
- Multiple cleanup points needed for safety (skip, timeout, normal flow)
- Comment flag lifecycle decisions in code",Done,1,"bug,daily-double,state-management",Claude,Jeopardy Game,2026-01-13,2026-01-13
JEO-8,Final Jeopardy Speech to Text Input,"**Problem/Request:**
Final Jeopardy speech recognition getting stuck, unreliable. User wanted text input instead for both players to type answers simultaneously.

**Investigation:**
- Speech recognition sequential (player 1 then player 2) caused waits
- Web Speech API errors could block progression
- Text input would be faster, more reliable, allow simultaneous answers

**Root Cause:**
Web Speech API:
- Requires sequential processing
- Error-prone (microphone issues, ambient noise)
- Slower than typing
- Poor UX for final critical round

**Options Considered:**
1. Fix speech recognition reliability
2. Switch to text input
3. Offer both options
Chose option 2 for simplicity and reliability.

**Solution Implemented:**
Replaced sequential speech input with simultaneous text input:
- Two text input fields shown together
- Both players type answers at same time
- Single submit validates both answers via API
- Display detailed results screen showing correctness for each player

**Code Changes:**
- index.html lines 115-126: Replaced speech UI with text input fields
- index.html lines 127-149: Added FJ results display screen
- styles.css lines 543-573: Styled answer input fields
- styles.css lines 575-649: Styled results screen with correct/incorrect indicators
- ui.js lines 83-92: Added submit answers event handler
- ui.js lines 127-129: Added continue button handler
- ui.js lines 388-394: Updated showFinalJeopardyQuestion to clear inputs
- ui.js lines 408-432: Added showFinalJeopardyResults() method
- game.js lines 41: Added finalJeopardyUserAnswers tracking
- game.js lines 358-360: Simplified submitFinalJeopardyWagers
- game.js lines 363-408: Rewrote submitFinalJeopardyAnswers for text input
- game.js lines 411-425: Separated calculateFinalJeopardyScores
- game.js lines 428-442: Added showFinalJeopardyResults method

**Testing:**
- Both players can type simultaneously
- Validation works for both answers
- Results screen shows correct/incorrect clearly
- Wagers and final scores calculated correctly
- Smooth transition to game over

**Outcome:**
Final Jeopardy more reliable, faster, better UX. Simultaneous input saves time. Clear results display improves transparency.

**Lessons Learned:**
- Text input often more reliable than speech for critical inputs
- Simultaneous input better UX than sequential
- Results transparency important for fairness
- Speech recognition better for rapid gameplay, text for important moments",Done,1,"feature,final-jeopardy,ux",Claude,Jeopardy Game,2026-01-13,2026-01-13
JEO-9,Final Jeopardy Results Display,"**Problem/Request:**
Final Jeopardy didn't show correct answer or indicate who was right/wrong. Results screen went straight to winner without explanation.

**Investigation:**
- No intermediate screen between answer submission and game over
- Players couldn't see validation results
- Lack of transparency about scoring

**Root Cause:**
Original design had no results screen, jumped directly to game over after calculating scores.

**Options Considered:**
1. Add results to game over screen
2. Create dedicated results screen
Chose option 2 for better information hierarchy.

**Solution Implemented:**
Created comprehensive FJ results screen showing:
- Correct answer prominently displayed
- Each player's submitted answer
- Correct/Incorrect indicator (color-coded green/red)
- Wagers for each player
- Final scores after wager adjustment
- Continue button to proceed to game over

**Code Changes:**
- index.html lines 127-149: Added fj-results-screen HTML
- styles.css lines 575-649: Styled results display with color coding
- ui.js lines 408-432: Implemented showFinalJeopardyResults()
- ui.js line 456: Hide FJ on game over
- game.js line 402: Call showFinalJeopardyResults after calculation
- game.js lines 428-442: Separated results display from endGame

**Testing:**
- Verified correct answer displays
- Confirmed color coding (green for correct, red for incorrect)
- Tested wager display
- Validated final score calculations shown
- Smooth transition to game over

**Outcome:**
Complete transparency in Final Jeopardy scoring. Players understand why they won/lost. Professional presentation of results.

**Lessons Learned:**
- Transparency important for game satisfaction
- Intermediate results screens improve UX
- Color coding aids quick comprehension
- Breaking endGame into steps allows better flow control",Done,2,"enhancement,final-jeopardy,ux",Claude,Jeopardy Game,2026-01-13,2026-01-13
JEO-10,Score Editing Feature,"**Problem/Request:**
User needed ability to manually edit scores when LLM mishears or makes validation mistakes, allowing score corrections mid-game.

**Investigation:**
- Scores stored in game.players[1].score and game.players[2].score
- Need prompt-based input for quick editing
- Must update UI immediately after edit

**Root Cause:**
N/A - Missing feature for error correction

**Options Considered:**
1. Inline editable score displays
2. Separate edit buttons with prompt
3. Keyboard shortcuts
Chose option 2 for simplicity and explicit action.

**Solution Implemented:**
Added ""Edit Score"" buttons under each player's score:
- Click button → prompt dialog with current score
- Enter new score → updates game state and UI
- Handles invalid input gracefully (defaults to 0)

**Code Changes:**
- index.html lines 53, 60: Added edit-score-1 and edit-score-2 buttons
- styles.css lines 141-155: Styled btn-small class
- ui.js lines 104-119: Added click handlers with prompt dialogs
- Direct access to game.players object for score modification

**Testing:**
- Clicked edit buttons, verified prompts appear
- Entered various values (positive, negative, zero)
- Confirmed UI updates immediately
- Tested canceling prompt (no change)

**Outcome:**
Quick score correction available anytime. Fixes LLM mishearing or validation errors. Maintains game fairness.

**Lessons Learned:**
- Manual override important for AI-dependent games
- Simple prompt dialog sufficient for infrequent corrections
- Direct state access acceptable for simple edits
- Negative scores should be allowed (Jeopardy rules)",Done,2,"feature,scoring,error-correction",Claude,Jeopardy Game,2026-01-13,2026-01-13
